Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,ROL-497,12420878,Header.jsp refers to non-existent CalendarPopup.js,roller_unassigned,dgynn,Trivial,Closed,Fixed,17/Oct/04 20:21,05/Jan/13 20:43,
Bug,ROL-941,12420786,Logo disappears.  Only the front page shows the logo and the rest of the pages don't have the logo,roller_unassigned,timleung22,Trivial,Closed,Fixed,21/Dec/05 16:58,05/Jan/13 20:43,
Bug,ROL-1803,12421468,Comments.jsp ,djohnson,gregh,Trivial,Closed,Fixed,27/Mar/09 14:46,01/Jan/13 17:53,
Bug,ROL-1824,12430243,Planet not refreshing Recent Entries,djohnson,mthule,Trivial,Closed,Cannot Reproduce,13/Jul/09 17:58,01/Jan/13 17:53,
Bug,ROL-1383,12420925,typos in install doc,roller_unassigned,jltaylor,Trivial,Closed,Won't Fix,27/Mar/07 17:01,29/May/10 01:48,
Bug,ROL-1158,12421100,OracleDialect => Oracle9Dialect in HibernateRefererManagerImpl,roller_unassigned,tjk,Trivial,Closed,Fixed,04/Jun/06 09:11,27/Jun/07 18:43,
Bug,ROL-570,12420718,LInk in weblog/editor-dhtml.jsp points to non existing directory,roller_unassigned,tore,Trivial,Closed,Won't Fix,23/Dec/04 07:25,06/Mar/07 09:49,
Bug,ROL-940,12420686,Minor typos in ApplicationResources,roller_unassigned,husted,Trivial,Closed,Fixed,21/Dec/05 10:49,06/Mar/07 09:43,
Bug,ROL-1189,12420889,Preview misspelled on summary section in preview mode,roller_unassigned,robcwilson,Trivial,Closed,Fixed,17/Jul/06 18:42,08/Dec/06 21:28,
Bug,ROL-1049,12420677,Emoticons do not work in the comments section. ,roller_unassigned,robcwilson,Trivial,Closed,Won't Fix,14/Feb/06 16:11,04/Dec/06 20:10,
Bug,ROL-857,12420710,"""Most Recent Entry"" sort order on roller/dashboard is broken",roller_unassigned,lskrocki,Trivial,Closed,Won't Fix,24/Oct/05 20:03,30/Oct/06 20:54,
Bug,ROL-1200,12420821,Preview misspelled (prevew) on the preview page,roller_unassigned,lskrocki,Trivial,Closed,Fixed,07/Aug/06 21:48,11/Sep/06 21:41,
Bug,ROL-993,12420636,Comment management misspelled on comment management page ,djohnson,robcwilson,Trivial,Closed,Fixed,13/Jan/06 18:48,21/Jul/06 17:25,
Improvement,ROL-938,12420508,Make Technorati API limit configurable,djohnson,djohnson,Trivial,Closed,Fixed,19/Dec/05 16:14,13/Apr/06 16:03,
Improvement,ROL-330,12420388,Use Struts Tiles for the Editor and offer a different theme,djohnson,mraible,Trivial,Closed,Fixed,22/Mar/04 13:38,23/Mar/06 16:52,
Bug,ROL-900,12419793,Missing delete user UI control,djohnson,agangolli,Trivial,Closed,Fixed,29/Nov/05 16:23,21/Mar/06 20:16,
Bug,ROL-874,12419698,German trans. contains specific welcome.title,djohnson,deki,Trivial,Closed,Fixed,07/Nov/05 09:20,21/Mar/06 20:16,
Improvement,ROL-698,12420369,"Add ""Powered by Roller"" to Footer.jsp",djohnson,eortiz,Trivial,Closed,Fixed,28/Mar/05 01:47,21/Mar/06 20:03,
Bug,ROL-887,12420416,[QA-2005-11-13] - New User Registration - Title is 'Front Page',bayard,bayard,Trivial,Closed,Fixed,14/Nov/05 05:06,20/Mar/06 17:36,
Improvement,ROL-428,12420132,"SmileyPlugin - use CSS for image sizes, not hard-coded height/width",mraible,mraible,Trivial,Closed,Fixed,08/Jul/04 16:02,02/Mar/06 21:56,
Task,ROL-908,12420434,How i change the view,djohnson,bresolin,Trivial,Closed,Won't Fix,02/Dec/05 03:15,15/Feb/06 21:03,
Bug,ROL-281,12420385,Weblog::Edit does not work in Resin 3.0.4,djohnson,mraible,Trivial,Closed,Cannot Reproduce,20/Nov/03 08:05,06/Dec/05 19:54,
Bug,ROL-885,12420267,[QA-2005-11-13] - New User Registration - Preferred misspelt,bayard,bayard,Trivial,Closed,Fixed,14/Nov/05 05:02,14/Nov/05 05:14,
Bug,ROL-886,12420035,[QA-2005-11-13] - New User Registration - Space before please,bayard,bayard,Trivial,Closed,Fixed,14/Nov/05 05:05,14/Nov/05 05:12,
Bug,ROL-888,12420078,[QA-2005-11-13] - New User Registration - adminstrator,bayard,bayard,Trivial,Closed,Fixed,14/Nov/05 05:08,14/Nov/05 05:11,
Bug,ROL-541,12420446,MathCommentAuthenticator success status message is displayed as error,agangolli,agangolli,Trivial,Closed,Fixed,23/Nov/04 01:41,19/Feb/05 18:02,
Improvement,ROL-102,12420292,"Add ""Last 20 Comments"" feature (like MiniBlog has)",lavandowska,mraible,Trivial,Closed,Fixed,12/Nov/02 15:40,20/Sep/04 04:28,
Bug,ROL-238,12419918,Parameters intended for the 'edit website settings' are being sent to the logout-redirect.jsp.,djohnson,bdudney,Trivial,Closed,Fixed,23/Sep/03 04:14,29/Feb/04 19:07,
New Feature,ROL-312,12419871,Add basic FOAF support from current data,lavandowska,lavandowska,Trivial,Closed,Fixed,10/Feb/04 00:04,10/Feb/04 00:04,
Improvement,ROL-105,12419838,User can delete Referers,lavandowska,lavandowska,Trivial,Closed,Fixed,12/Nov/02 16:09,03/Feb/04 14:37,
Improvement,ROL-201,12419832,Sample Apache JkMounts for mod-jk,lavandowska,cmdln,Trivial,Closed,Fixed,26/May/03 14:42,26/Jan/04 02:28,
Bug,ROL-245,12419707,Mispelling,djohnson,stuartw,Trivial,Closed,Fixed,02/Oct/03 20:03,03/Oct/03 02:42,
Improvement,ROL-134,12419898,Improve documentation on bookmarks and bookmark folders,djohnson,roller_jb,Trivial,Closed,Fixed,30/Jan/03 11:36,19/Sep/03 03:07,
Improvement,ROL-200,12419701,Context XML file for Tomcat 4.1.x,djohnson,cmdln,Trivial,Closed,Fixed,26/May/03 14:32,01/Aug/03 13:34,
Improvement,ROL-128,12419915,Add ability to have comments e-mailed to user,mraible,mraible,Trivial,Closed,Fixed,13/Dec/02 12:51,11/Jun/03 03:03,
New Feature,ROL-104,12419880,Allow users to exclude referrers from list,lavandowska,lavandowska,Trivial,Closed,Fixed,12/Nov/02 16:07,07/Jun/03 04:42,
Bug,ROL-87,12419937,Mozilla 1.0.1 + J2RE 1.4.1_01 wont pose for ekit,djohnson,shemnon,Trivial,Closed,Won't Fix,27/Oct/02 13:54,17/Apr/03 20:56,
Bug,ROL-143,12419896,oscache.tld setting in web.xml,djohnson,geojeff,Trivial,Closed,Fixed,24/Feb/03 05:43,17/Apr/03 20:55,
Improvement,ROL-132,12419941,Add gzip Filter to Roller,lavandowska,lavandowska,Trivial,Closed,Fixed,29/Jan/03 17:28,02/Apr/03 20:12,
Bug,ROL-138,12419819,Link to Castor project is wrong,djohnson,van,Trivial,Closed,Fixed,03/Feb/03 12:16,03/Feb/03 17:08,
Improvement,ROL-77,12419751,Post button and Publish check box should change,djohnson,jduska,Trivial,Closed,Fixed,24/Oct/02 21:57,06/Nov/02 22:37,
Improvement,ROL-71,12419907,Roller's rss feed has some minor glitches with NetNewsWire,djohnson,mraible,Trivial,Closed,Fixed,23/Oct/02 17:06,29/Oct/02 23:10,
Improvement,ROL-83,12419726,"Mark entries as ""Published"" or ""Private"" in editor. ",lavandowska,lavandowska,Trivial,Closed,Fixed,26/Oct/02 10:01,27/Oct/02 15:18,
