Issue Type,Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
New Feature,VCL-171,12429208,,Generic service / high-performance computing (HPC) interaction ,,fapeeler,Major,Open,,30/Jun/09 17:47,02/Jan/12 18:16,
Sub-task,VCL-419,12492640,12456164,allow private IP address to be set and modified for computers,jfthomps,jfthomps,Major,Resolved,Fixed,07/Dec/10 16:59,02/Dec/11 18:52,
Improvement,VCL-489,12515684,,allow dhcp and hosts info to be downloaded about computers any time instead of just when adding,jfthomps,jfthomps,Major,Resolved,Fixed,28/Jul/11 17:41,02/Dec/11 18:52,
Improvement,VCL-490,12515686,,restrict fields when adding computers,jfthomps,jfthomps,Major,Resolved,Fixed,28/Jul/11 17:42,02/Dec/11 18:52,
Improvement,VCL-432,12497611,,auto capture for imaging and long-term reservations,fapeeler,fapeeler,Major,Resolved,Fixed,03/Feb/11 19:41,21/Nov/11 21:03,
Test,VCL-535,12531343,,Please ignore... This is a test Jira to drive email notification,,kevan,Major,Closed,Invalid,14/Nov/11 17:13,14/Nov/11 18:18,
Improvement,VCL-376,12473069,,mark imagerevisions deleted when user deletes image.,jfthomps,fapeeler,Major,Resolved,Fixed,01/Sep/10 18:42,28/Oct/11 13:51,
New Feature,VCL-477,12508553,,add caching of statistics data,,jfthomps,Major,Resolved,Fixed,27/May/11 14:23,27/Oct/11 19:54,
Improvement,VCL-375,12473064,,delete images - remove currentimage check,,fapeeler,Major,Closed,Duplicate,01/Sep/10 18:18,27/Oct/11 19:51,
Improvement,VCL-92,12414579,,modify predictive loading algorithm level 1 to have 2 computers loaded with an image,,jfthomps,Major,Resolved,Fixed,11/Feb/09 16:09,27/Oct/11 19:17,
Bug,VCL-470,12506744,,The vSphere module does not implement the get_total_space subroutine,arkurth,acoburn,Major,Resolved,Fixed,10/May/11 17:35,27/Oct/11 19:13,
Bug,VCL-387,12475443,,xcat 1.3 getmac regex not account for A-F,,fapeeler,Major,Resolved,Fixed,29/Sep/10 20:04,27/Oct/11 19:12,
Improvement,VCL-491,12515687,,adding multiple computers - confusing error messages when incorrect count entered,,jfthomps,Major,Resolved,Fixed,28/Jul/11 17:46,26/Oct/11 16:19,
Bug,VCL-427,12493762,,"for block allocations, setting the managing user group to none means no one can edit it if a normal user created it",jfthomps,jfthomps,Major,Resolved,Fixed,21/Dec/10 15:30,24/Oct/11 18:51,
Improvement,VCL-532,12527962,,either specify date along with time for block allocation time slots or specifiy start date/time and duration,,jfthomps,Major,Open,,20/Oct/11 16:19,20/Oct/11 16:19,
Bug,VCL-474,12507805,,recent versions of mysql don't accept double quotes to signify strings in where clauses,jfthomps,jfthomps,Major,Resolved,Fixed,19/May/11 19:53,07/Oct/11 19:11,
Bug,VCL-422,12492760,,Windows image capture may hang when cleanmgr.exe is executed or the utility may not be installed,arkurth,arkurth,Major,Resolved,Fixed,08/Dec/10 19:33,04/Oct/11 18:38,
Bug,VCL-415,12479633,,Shibboleth logout error when using IE,,jodell,Major,Resolved,Duplicate,10/Nov/10 19:11,30/Sep/11 19:16,
Bug,VCL-396,12477260,,vmprofiles displayed as 'Array' when changing a computer to vmhostinuse on computer utilities,jfthomps,jfthomps,Major,Resolved,Fixed,13/Oct/10 17:51,30/Sep/11 17:59,
Bug,VCL-225,12435418,,no user groups to select from when adding a new user group,,jfthomps,Major,Resolved,Fixed,11/Sep/09 11:58,28/Sep/11 19:03,
Bug,VCL-114,12417298,,catch-22 with new installs for creating a vmprofile,,jfthomps,Major,Resolved,Fixed,19/Mar/09 17:16,28/Sep/11 18:09,
Improvement,VCL-514,12524937,,decrease the number of queries done by the frontend,,jfthomps,Major,Resolved,Fixed,27/Sep/11 17:37,28/Sep/11 13:55,
Bug,VCL-500,12519198,,tomaintenance requests may start too early or fail if scheduled in the future,arkurth,arkurth,Major,Resolved,Fixed,17/Aug/11 22:32,01/Sep/11 19:26,
Improvement,VCL-413,12478604,,Management node OS object,arkurth,arkurth,Major,Resolved,Fixed,28/Oct/10 17:49,29/Jul/11 13:52,
Bug,VCL-481,12512994,,monitor_vcld.pl script,fapeeler,fapeeler,Major,Resolved,Fixed,06/Jul/11 14:10,06/Jul/11 15:12,
Improvement,VCL-379,12473711,,alert user if reservation has timed out when they click Connect or Get RDP File,,jfthomps,Major,Closed,Duplicate,09/Sep/10 18:53,28/Apr/11 18:12,
Bug,VCL-353,12468917,,vmware.pm inserting new images - if original name is not in proper format $oldname does not get set correctly.,,fapeeler,Major,Resolved,Fixed,09/Jul/10 12:49,28/Apr/11 17:59,
